step,score,score_norm,pi_norm,pco2
1,22.6826844040549,1,1,58.2
2,7.37883892639226,0.325307128334122,1.09957081545064,58.4
3,23.7901236589534,1.04882311260745,1.17787315212208,65.1
4,23.9645150908786,1.05651141919493,0.997806390081068,50.7
5,22.6358844002444,0.997936751974467,1.00495946590367,42.1
6,21.6775679582667,0.95568794116765,0.952961373390558,44.7
7,19.8828250903516,0.876564022854247,0.91378159275155,40.4
8,17.8964071131011,0.788989821235701,1.02231759656652,54
9,18.8773558946448,0.832236412515186,1,55.9
10,19.9436235816389,0.879244415095495,1,55.6
