step,score,score_norm,pi_norm,pco2,pco2_norm
1,50.2316370313328,1,1,19.7,1
2,52.4635877405919,1.04443316684795,0.928754694530175,46,2.33502538071066
3,59.3164961008375,1.18085930713024,1.13925556836351,47.9,2.43147208121827
4,47.1653676415404,0.938957406706062,0.923648037283556,53.8,2.73096446700508
5,42.7979350557433,0.852011552580844,1.08092564359995,63.3,3.21319796954315
6,38.4438744481173,0.765331904754316,1.0604494354169,38.8,1.96954314720812
7,34.683033751787,0.690461943936904,0.855662563988151,33.5,1.7005076142132
1,140.033480572902,1,1,50.6,1
2,119.234453291752,0.8514710396681,1.05553743271897,66.5,1.31422924901186
3,128.295540076751,0.91617761375259,0.987685532539553,74.6,1.47430830039526
4,124.980907629452,0.892507328376989,1.01533191975208,46.2,0.91304347826087
5,138.467272417376,0.988815473634458,0.943076170282173,54.9,1.08498023715415
6,128.12209851006,0.914939041619824,0.90751916489969,51.8,1.02371541501976
7,134.018278122533,0.957044540878649,0.886641657152177,60.8,1.20158102766798
8,143.077853898993,1.02174032462548,0.859647692056761,65.7,1.29841897233202
9,136.821303553768,0.977061364139543,0.861523405643451,70.2,1.38735177865613
10,101.043372899294,0.721565817588102,0.957103245800033,55.9,1.10474308300395
11,141.947652033818,1.0136693843007,0.912575436307291,34.7,0.685770750988142
12,132.927213976345,0.94925308885072,1.00220192464525,71,1.40316205533597
13,135.557388988052,0.968035561449035,0.964361441852879,66.5,1.31422924901186
1,94.6007738350932,1,1,59.7,1
2,127.78152364984,1.35074501475629,0.965285660234582,41.4,0.693467336683417
3,134.39936363677,1.42070046774726,1.04975406734771,35.3,0.591289782244556
4,139.234050446515,1.47180667559048,0.908333333333333,33.6,0.562814070351759
5,43.0410537145638,0.454975704422803,0.768265228906546,30.7,0.514237855946399
6,115.014313237321,1.21578617779399,0.687268255769958,29.6,0.495812395309883
7,136.529432613351,1.44321686893754,0.707756337495271,52.3,0.876046901172529
8,129.886650731394,1.37299776170764,0.805107832009081,59.4,0.994974874371859
9,128.922156252678,1.36280234321776,0.755457813091184,58.9,0.986599664991625
10,131.404287545087,1.38904030292764,0.750491865304578,59.3,0.993299832495812
11,124.875389289556,1.32002502968144,0.640257283390087,52.6,0.88107202680067
12,135.596793991829,1.43335819036955,0.933569807037457,35.1,0.587939698492462
13,148.843750232047,1.5733882948094,0.755401059402194,67.1,1.12395309882747
14,137.768283611178,1.4563124383246,0.703424139235717,67.1,1.12395309882747
1,22.6826844040549,1,1,58.2,1
2,7.37883892639226,0.325307128334122,1.09957081545064,58.4,1.00343642611684
3,23.7901236589534,1.04882311260745,1.17787315212208,65.1,1.11855670103093
4,23.9645150908786,1.05651141919493,0.997806390081068,50.7,0.871134020618557
5,22.6358844002444,0.997936751974467,1.00495946590367,42.1,0.723367697594502
6,21.6775679582667,0.95568794116765,0.952961373390558,44.7,0.768041237113402
7,19.8828250903516,0.876564022854247,0.91378159275155,40.4,0.694158075601375
8,17.8964071131011,0.788989821235701,1.02231759656652,54,0.927835051546392
9,18.8773558946448,0.832236412515186,1,55.9,0.960481099656357
10,19.9436235816389,0.879244415095495,1,55.6,0.9553264604811
