time,AATP #1,AATP #2,BATP #1,BATP #2,BATP #3,GATP#1,GATP#2,PCR,PI,swinia
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2,0.986335670339104,0.986335670339104,0.9452646741087499,0.9452646741087499,0.9452646741087499,1.00098858632156,1.00098858632156,1.00087834870444,1.0169105449503602,1
3,0.9971383602804409,0.9971383602804409,0.9349567879006121,0.9349417836994359,0.9349417836994359,1.00314550193224,1.00314550193224,1.00851998243303,0.9987744187773899,1
4,0.9743883245099441,0.9743883245099441,0.95981874924979,0.95981874924979,0.95981874924979,0.996854498067763,0.996854498067763,0.99262187088274,0.9276164302161479,1
5,1.01981685505795,1.01981685505795,0.969361421197935,0.969361421197935,0.969361421197935,0.9697133099667479,0.9697133099667479,0.989108476064998,1.13785931813117,1
6,1.03927600515095,1.03927600515095,1.0634977793782299,1.0634977793782299,1.0634977793782299,0.891057787364069,0.891057787364069,0.9564339042599909,0.92251603159276,1
7,1.04964944913435,1.04964944913435,1.0591015484335602,1.05908654423239,1.05908654423239,0.882861508043498,0.882861508043498,0.95467720685112,1.07960088142811,1
8,1.10423522678495,1.10423522678495,1.06835914055936,1.06835914055936,1.06835914055936,0.886087894311135,0.886087894311135,0.9779534475186651,1.0591497685013198,1
9,0.991701244813278,0.991701244813278,0.8456367782979229,0.8456367782979229,0.8456367782979229,0.944639165992631,0.944639165992631,1.0000878348704398,0.8546138800168359,1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
2,1.0364540826240698,1.0364540826240698,0.9942172409681651,0.9942290953749301,0.9942290953749301,1.0084143939846,1.0084143939846,1.0061954030109699,1.05553743271897,2
3,1.01640045081808,1.01640045081808,1.03272922379874,1.03276538411093,1.03276538411093,1.00113385450856,1.00113385450856,1.0070627594325,0.987685532539553,2
4,1.00703431658311,1.00703431658311,0.9894479551687141,0.9894835994229101,0.9894835994229101,0.9774422629348929,0.9774422629348929,1.01691345021994,1.01533191975208,2
5,1.01402976953869,1.01402976953869,0.9836055800643849,0.9836053845878691,0.9836053845878691,1.02977859998806,1.02977859998806,1.0276934514590201,0.943076170282173,2
6,1.04103999067273,1.04103999067273,1.01430785739835,1.01433187470937,1.01433187470937,1.0576475502775,1.0576475502775,1.03128678520538,0.90751916489969,2
7,1.0126695425751,1.0126695425751,0.9846786693692622,0.984714256757562,0.984714256757562,0.994151697797935,0.994151697797935,1.02682609503748,0.8866416571521769,2
