step,score,score_norm,pi_norm,pco2
1,140.033480572902,1,1,50.6
2,119.234453291752,0.8514710396681,1.05553743271897,66.5
3,128.295540076751,0.91617761375259,0.987685532539553,74.6
4,124.980907629452,0.892507328376989,1.01533191975208,46.2
5,138.467272417376,0.988815473634458,0.943076170282173,54.9
6,128.12209851006,0.914939041619824,0.90751916489969,51.8
7,134.018278122533,0.957044540878649,0.886641657152177,60.8
8,143.077853898993,1.02174032462548,0.859647692056761,65.7
9,136.821303553768,0.977061364139543,0.861523405643451,70.2
10,101.043372899294,0.721565817588102,0.957103245800033,55.9
11,141.947652033818,1.0136693843007,0.912575436307291,34.7
12,132.927213976345,0.94925308885072,1.00220192464525,71
13,135.557388988052,0.968035561449035,0.964361441852879,66.5
