step,score,score_norm,pi_norm,pco2
1,94.6007738350932,1,1,59.7
2,127.78152364984,1.35074501475629,0.965285660234582,41.4
3,134.39936363677,1.42070046774726,1.04975406734771,35.3
4,139.234050446515,1.47180667559048,0.908333333333333,33.6
5,43.0410537145638,0.454975704422803,0.768265228906546,30.7
6,115.014313237321,1.21578617779399,0.687268255769958,29.6
7,136.529432613351,1.44321686893754,0.707756337495271,52.3
8,129.886650731394,1.37299776170764,0.805107832009081,59.4
9,128.922156252678,1.36280234321776,0.755457813091184,58.9
10,131.404287545087,1.38904030292764,0.750491865304578,59.3
11,124.875389289556,1.32002502968144,0.640257283390087,52.6
12,135.596793991829,1.43335819036955,0.933569807037457,35.1
13,148.843750232047,1.5733882948094,0.755401059402194,67.1
14,137.768283611178,1.4563124383246,0.703424139235717,67.1
